Well,Component,Concentration[mM]
A1,MOPS,2000.0
B1,Tricine,400.0
C1,H3BO3,2.4
D1,Glucose,3000.0
A2,K2SO4,43.5
B2,K2HPO4,396.0
C2,NH4Cl,1904.0001
D2,MgCl2,15.6
A3,NaCl,1500.0
B3,(NH4)6Mo7O24,0.018
C3,CoCl2,0.18
D3,CuSO4,0.06
A4,MnSO4,0.48
B4,ZnSO4,0.06
C4,Kan,300x
D4,MgCl2,15.6
A5,NaCl,1500.0
