Variable,Min,Max
H3BO3[mM],0.0004,0.04
K2SO4[mM],0.029,2.9
K2HPO4[mM],0.264,6.6000000000000005
FeSO4[mM],0.001,0.1
NH4Cl[mM],6.346667,14.28
MgCl2[mM],0.052,5.2
NaCl[mM],5.0,500.0
(NH4)6Mo7O24[mM],3e-06,0.00030000000000000003
CoCl2[mM],3e-05,0.0029999999999999996
CuSO4[mM],1e-05,0.001
MnSO4[mM],8e-05,0.008
ZnSO4[mM],1e-05,0.001
