Well,Component,Concentration
A1,MOPS[mM],2000.0
B1,Tricine[mM],400.0
C1,H3BO3[mM],4.8
D1,Glucose[mM],3000.0
A2,K2SO4[mM],60.0
B2,K2HPO4[mM],792.0
C2,NH4Cl[mM],1920.0
D2,MgCl2[mM],156.0
A3,NaCl[mM],3750.0
B3,(NH4)6Mo7O24[mM],0.036
C3,CoCl2[mM],0.36
D3,CuSO4[mM],0.36
A4,MnSO4[mM],0.96
B4,ZnSO4[mM],0.12
C4,CaCl2[mM],3.0
D4,Kan[g/L],15.0
A5,NaCl[mM],3750.0
