Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.06813331937334453,19.652914698882423,0.047798290418871674,0.006926825775796964,0.7171876549254487
Random Forest Regressor,0.011662083946358414,2.916609198559359,0.013100568535632831,0.00030762909792872363,0.9874399458836712
TPOT Regressor,0.012357755106356408,3.1314491973234646,0.01324049529588754,0.00032802482694909796,0.9866072175690784
Support Vector Regressor,0.06107755326306828,18.559062574695766,0.029147141638136843,0.004580023378276553,0.8130042253072791
Kernel Ridge Regressor,0.019889160332328428,5.306376829439471,0.016456340575577787,0.0006663898438644745,0.9727922600369586
K-NN Regressor,0.023279027777777777,7.16056948579397,0.020875521328135745,0.0009777005249999998,0.9600818921674038
Gaussian Process Regressor,0.011987896049329594,3.025001818844069,0.012872468338914074,0.0003094100928258774,0.987367230420668
Gradient Boosting Regressor,0.01158712890235464,2.8868795021286124,0.012873716919627022,0.0002999941435264733,0.9877516701032383
Ensemble Model,0.012273079654096535,3.099472571793917,0.013301470284180359,0.0003275575959167314,0.9866262939408874
