Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,B5,P2,A1,15.0
P1,B5,P2,B1,15.0
P1,B5,P2,C1,15.0
P1,B5,P2,D1,15.0
P1,B5,P2,E1,15.0
P1,B5,P2,F1,15.0
P1,B5,P2,A2,15.0
P1,B5,P2,B2,15.0
P1,B5,P2,C2,15.0
P1,B5,P2,D2,15.0
P1,B5,P2,E2,15.0
P1,B5,P2,F2,15.0
P1,B5,P2,A3,15.0
P1,B5,P2,B3,15.0
P1,B5,P2,C3,15.0
P1,B5,P2,D3,15.0
P1,B5,P2,E3,15.0
P1,B5,P2,F3,15.0
P1,B5,P2,A4,15.0
P1,B5,P2,B4,15.0
P1,B5,P2,C4,15.0
P1,B5,P2,D4,15.0
P1,B5,P2,E4,15.0
P1,B5,P2,F4,15.0
