,Well,H3BO3,K2SO4,K2HPO4,FeSO4,NH4Cl,MgCl2,NaCl,(NH4)6Mo7O24,CoCl2,CuSO4,MnSO4,ZnSO4,OD340_pred,OD340_std,Label
0,A1,0.0254287118723048,2.356941700921226,3.646289174069759,0.007856327391852,6.680307884920412,4.907831322137617,15.155636954329552,9.277145548688964e-05,0.0007213740135578,0.0009499702876612,0.0046211675639319,0.0007440119576321,0.28306711964085673,0.0720417754041814,LHS
1,B1,0.0254287118723048,2.356941700921226,3.646289174069759,0.007856327391852,6.680307884920412,4.907831322137617,15.155636954329552,9.277145548688964e-05,0.0007213740135578,0.0009499702876612,0.0046211675639319,0.0007440119576321,0.28306711964085673,0.0720417754041814,LHS
2,C1,0.0254287118723048,2.356941700921226,3.646289174069759,0.007856327391852,6.680307884920412,4.907831322137617,15.155636954329552,9.277145548688964e-05,0.0007213740135578,0.0009499702876612,0.0046211675639319,0.0007440119576321,0.28306711964085673,0.0720417754041814,LHS
3,D1,0.0086282537000871,0.8968523310863903,5.044413989131064,0.0170219979471894,13.269194769028076,2.521720059802788,232.4950192548744,0.0001044104322322,0.0020035282962934,0.0005579218342553,0.0016443305373,2.876772321737135e-05,0.44075457542527274,0.07189589314945902,LHS
4,E1,0.0086282537000871,0.8968523310863903,5.044413989131064,0.0170219979471894,13.269194769028076,2.521720059802788,232.4950192548744,0.0001044104322322,0.0020035282962934,0.0005579218342553,0.0016443305373,2.876772321737135e-05,0.44075457542527274,0.07189589314945902,LHS
5,F1,0.0086282537000871,0.8968523310863903,5.044413989131064,0.0170219979471894,13.269194769028076,2.521720059802788,232.4950192548744,0.0001044104322322,0.0020035282962934,0.0005579218342553,0.0016443305373,2.876772321737135e-05,0.44075457542527274,0.07189589314945902,LHS
6,A2,0.0166800996888144,1.6122216321640808,4.255821448588711,0.0864564772269737,6.883766702676595,4.633127709137852,263.4933693029461,0.0002312412501483,0.0025863733717535,0.0008957741291855,0.0025043148191123,0.0003633966730732,0.4727094630680988,0.0724877080144512,LHS
7,B2,0.0166800996888144,1.6122216321640808,4.255821448588711,0.0864564772269737,6.883766702676595,4.633127709137852,263.4933693029461,0.0002312412501483,0.0025863733717535,0.0008957741291855,0.0025043148191123,0.0003633966730732,0.4727094630680988,0.0724877080144512,LHS
8,C2,0.0166800996888144,1.6122216321640808,4.255821448588711,0.0864564772269737,6.883766702676595,4.633127709137852,263.4933693029461,0.0002312412501483,0.0025863733717535,0.0008957741291855,0.0025043148191123,0.0003633966730732,0.4727094630680988,0.0724877080144512,LHS
9,D2,0.0394207604313883,2.1399889239233705,6.482189721027317,0.0049067898437378,8.404624691369104,1.6309104714833162,409.9000031267316,2.895142008288908e-05,0.0009969966364467,0.0003222521953099,0.0004919936995913,0.0002999399593225,0.44415668159066635,0.0724722540390693,LHS
10,E2,0.0394207604313883,2.1399889239233705,6.482189721027317,0.0049067898437378,8.404624691369104,1.6309104714833162,409.9000031267316,2.895142008288908e-05,0.0009969966364467,0.0003222521953099,0.0004919936995913,0.0002999399593225,0.44415668159066635,0.0724722540390693,LHS
11,F2,0.0394207604313883,2.1399889239233705,6.482189721027317,0.0049067898437378,8.404624691369104,1.6309104714833162,409.9000031267316,2.895142008288908e-05,0.0009969966364467,0.0003222521953099,0.0004919936995913,0.0002999399593225,0.44415668159066635,0.0724722540390693,LHS
12,A3,0.0038215032760949,2.1108865569503794,4.828971234155892,0.054005051926828,12.426864806024248,3.4941970824704662,309.23133390517484,0.0001933530013239,0.0018090985269124,2.0286854069638304e-05,0.0042251035837666,0.0004900898854849,0.4605817745945186,0.0720000586160146,LHS
13,B3,0.0038215032760949,2.1108865569503794,4.828971234155892,0.054005051926828,12.426864806024248,3.4941970824704662,309.23133390517484,0.0001933530013239,0.0018090985269124,2.0286854069638304e-05,0.0042251035837666,0.0004900898854849,0.4605817745945186,0.0720000586160146,LHS
14,C3,0.0038215032760949,2.1108865569503794,4.828971234155892,0.054005051926828,12.426864806024248,3.4941970824704662,309.23133390517484,0.0001933530013239,0.0018090985269124,2.0286854069638304e-05,0.0042251035837666,0.0004900898854849,0.4605817745945186,0.0720000586160146,LHS
15,D3,0.0192468021749403,0.0631719995340652,5.6166812491469225,0.0713725200353715,8.774073515393336,0.1148564717580664,486.9660081033824,0.0002764072710266,0.0024037215488052,0.0002331653918753,0.0075797456060048,0.0007162278590309,0.5620421824630086,0.07214564751416386,LHS
16,E3,0.0192468021749403,0.0631719995340652,5.6166812491469225,0.0713725200353715,8.774073515393336,0.1148564717580664,486.9660081033824,0.0002764072710266,0.0024037215488052,0.0002331653918753,0.0075797456060048,0.0007162278590309,0.5620421824630086,0.07214564751416386,LHS
17,F3,0.0192468021749403,0.0631719995340652,5.6166812491469225,0.0713725200353715,8.774073515393336,0.1148564717580664,486.9660081033824,0.0002764072710266,0.0024037215488052,0.0002331653918753,0.0075797456060048,0.0007162278590309,0.5620421824630086,0.07214564751416386,LHS
18,A4,0.014314014950074,1.3891736685269789,3.018873520327252,0.0326901029462084,11.532110462724049,3.1457388723379043,66.17468609338079,0.000219261644283,0.0010900785687124,0.0001933381070722,0.0070385123464929,0.0006473635400316,0.27423174698466046,0.07235171148165934,LHS
19,B4,0.014314014950074,1.3891736685269789,3.018873520327252,0.0326901029462084,11.532110462724049,3.1457388723379043,66.17468609338079,0.000219261644283,0.0010900785687124,0.0001933381070722,0.0070385123464929,0.0006473635400316,0.27423174698466046,0.07235171148165934,LHS
