Well,Component,Concentration[mM],Volume [uL]
A1,MOPS,2000.0,1540.0
B1,Tricine,400.0,820.0
C1,H3BO3,2.4,741.0
D1,Glucose,3000.0,580.0
A2,K2SO4,43.5,2824.0
B2,K2HPO4,396.0,880.0
C2,NH4Cl,1904.0001,520.0
D2,MgCl2,15.6,9000.0
A3,NaCl,1500.0,9000.0
B3,(NH4)6Mo7O24,0.018,796.0
C3,CoCl2,0.18,914.0
D3,CuSO4,0.06,932.0
A4,MnSO4,0.48,543.0
B4,ZnSO4,0.06,727.0
C4,Kan,300x,340.0
D4,MgCl2,15.6,3074.0
A5,NaCl,1500.0,9000.0
B5,NaCl,1500.0,424.0
