Well,Component,Concentration[mM],Volume [uL]
A1,H3BO3,0.12,898.0
B1,K2SO4,8.7,242.0
C1,K2HPO4,79.2,593.0
D1,(NH4)6Mo7O24,0.0009,1356.0
A2,CoCl2,0.009,1058.0
B2,CuSO4,0.003,1060.0
C2,MnSO4,0.024,943.0
D2,ZnSO4,0.003,1473.0
