Well,Component,Concentration[mM],Volume [uL]
A1,MOPS,2000.0,1540.0
B1,Tricine,400.0,820.0
C1,H3BO3,2.4,364.0
D1,Glucose,3000.0,580.0
A2,K2SO4,43.5,1989.0
B2,K2HPO4,396.0,345.0
C2,NH4Cl,1904.0001,494.0
D2,MgCl2,15.6,4197.0
A3,NaCl,1500.0,5549.0
B3,(NH4)6Mo7O24,0.018,372.0
C3,CoCl2,0.18,385.0
D3,CuSO4,0.06,382.0
A4,MnSO4,0.48,333.0
B4,ZnSO4,0.06,319.0
C4,Kan,300x,340.0
D4,MgCl2,15.6,
A5,NaCl,1500.0,
