Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,A1,P2,A1,29.999999999999943
P1,A1,P2,B1,29.999999999999943
P1,A1,P2,C1,29.999999999999943
P1,A1,P2,D1,29.999999999999943
P1,A1,P2,E1,29.999999999999943
P1,A1,P2,F1,29.999999999999943
P1,A1,P2,A2,29.999999999999943
P1,A1,P2,B2,29.999999999999943
P1,A1,P2,C2,29.999999999999943
P1,A1,P2,D2,29.999999999999943
P1,A1,P2,E2,29.999999999999943
P1,A1,P2,F2,29.999999999999943
P1,A1,P2,A3,29.999999999999943
P1,A1,P2,B3,29.999999999999943
P1,A1,P2,C3,29.999999999999943
P1,A1,P2,D3,29.999999999999943
P1,A1,P2,E3,29.999999999999943
P1,A1,P2,F3,29.999999999999943
P1,A1,P2,A4,29.999999999999943
P1,A1,P2,B4,29.999999999999943
P1,A1,P2,C4,29.999999999999943
P1,A1,P2,D4,29.999999999999943
P1,A1,P2,E4,29.999999999999943
P1,A1,P2,F4,29.999999999999943
P1,A1,P2,A5,29.999999999999943
P1,A1,P2,B5,29.999999999999943
P1,A1,P2,C5,29.999999999999943
P1,A1,P2,D5,29.999999999999943
P1,A1,P2,E5,29.999999999999943
P1,A1,P2,F5,29.999999999999943
P1,A1,P2,A6,29.999999999999943
P1,A1,P2,B6,29.999999999999943
P1,A1,P2,C6,29.999999999999943
P1,A1,P2,D6,29.999999999999943
P1,A1,P2,E6,29.999999999999943
P1,A1,P2,F6,29.999999999999943
P1,A1,P2,A7,29.999999999999943
P1,A1,P2,B7,29.999999999999943
P1,A1,P2,C7,29.999999999999943
P1,A1,P2,D7,29.999999999999943
P1,A1,P2,E7,29.999999999999943
P1,A1,P2,F7,29.999999999999943
P1,A1,P2,A8,29.999999999999943
P1,A1,P2,B8,29.999999999999943
P1,A1,P2,C8,29.999999999999943
P1,A1,P2,D8,29.999999999999943
P1,A1,P2,E8,29.999999999999943
P1,A1,P2,F8,29.999999999999943
P1,B1,P2,A1,15.0
P1,B1,P2,B1,15.0
P1,B1,P2,C1,15.0
P1,B1,P2,D1,15.0
P1,B1,P2,E1,15.0
P1,B1,P2,F1,15.0
P1,B1,P2,A2,15.0
P1,B1,P2,B2,15.0
P1,B1,P2,C2,15.0
P1,B1,P2,D2,15.0
P1,B1,P2,E2,15.0
P1,B1,P2,F2,15.0
P1,B1,P2,A3,15.0
P1,B1,P2,B3,15.0
P1,B1,P2,C3,15.0
P1,B1,P2,D3,15.0
P1,B1,P2,E3,15.0
P1,B1,P2,F3,15.0
P1,B1,P2,A4,15.0
P1,B1,P2,B4,15.0
P1,B1,P2,C4,15.0
P1,B1,P2,D4,15.0
P1,B1,P2,E4,15.0
P1,B1,P2,F4,15.0
P1,B1,P2,A5,15.0
P1,B1,P2,B5,15.0
P1,B1,P2,C5,15.0
P1,B1,P2,D5,15.0
P1,B1,P2,E5,15.0
P1,B1,P2,F5,15.0
P1,B1,P2,A6,15.0
P1,B1,P2,B6,15.0
P1,B1,P2,C6,15.0
P1,B1,P2,D6,15.0
P1,B1,P2,E6,15.0
P1,B1,P2,F6,15.0
P1,B1,P2,A7,15.0
P1,B1,P2,B7,15.0
P1,B1,P2,C7,15.0
P1,B1,P2,D7,15.0
P1,B1,P2,E7,15.0
P1,B1,P2,F7,15.0
P1,B1,P2,A8,15.0
P1,B1,P2,B8,15.0
P1,B1,P2,C8,15.0
P1,B1,P2,D8,15.0
P1,B1,P2,E8,15.0
P1,B1,P2,F8,15.0
P1,C1,P2,A1,10.0
P1,C1,P2,B1,10.0
P1,C1,P2,C1,10.0
P1,C1,P2,D1,10.0
P1,C1,P2,E1,10.0
P1,C1,P2,F1,10.0
P1,C1,P2,A2,10.0
P1,C1,P2,B2,10.0
P1,C1,P2,C2,10.0
P1,C1,P2,D2,10.0
P1,C1,P2,E2,10.0
P1,C1,P2,F2,10.0
P1,C1,P2,A3,10.0
P1,C1,P2,B3,10.0
P1,C1,P2,C3,10.0
P1,C1,P2,D3,10.0
P1,C1,P2,E3,10.0
P1,C1,P2,F3,10.0
P1,C1,P2,A4,10.0
P1,C1,P2,B4,10.0
P1,C1,P2,C4,10.0
P1,C1,P2,D4,10.0
P1,C1,P2,E4,10.0
P1,C1,P2,F4,10.0
P1,C1,P2,A5,10.0
P1,C1,P2,B5,10.0
P1,C1,P2,C5,10.0
P1,C1,P2,D5,10.0
P1,C1,P2,E5,10.0
P1,C1,P2,F5,10.0
P1,C1,P2,A6,10.0
P1,C1,P2,B6,10.0
P1,C1,P2,C6,10.0
P1,C1,P2,D6,10.0
P1,C1,P2,E6,10.0
P1,C1,P2,F6,10.0
P1,C1,P2,A7,10.0
P1,C1,P2,B7,10.0
P1,C1,P2,C7,10.0
P1,C1,P2,D7,10.0
P1,C1,P2,E7,10.0
P1,C1,P2,F7,10.0
P1,C1,P2,A8,10.0
P1,C1,P2,B8,10.0
P1,C1,P2,C8,10.0
P1,C1,P2,D8,10.0
P1,C1,P2,E8,10.0
P1,C1,P2,F8,10.0
P1,D1,P2,A1,10.0
P1,D1,P2,B1,10.0
P1,D1,P2,C1,10.0
P1,D1,P2,D1,10.0
P1,D1,P2,E1,10.0
P1,D1,P2,F1,10.0
P1,D1,P2,A2,10.0
P1,D1,P2,B2,10.0
P1,D1,P2,C2,10.0
P1,D1,P2,D2,10.0
P1,D1,P2,E2,10.0
P1,D1,P2,F2,10.0
P1,D1,P2,A3,10.0
P1,D1,P2,B3,10.0
P1,D1,P2,C3,10.0
P1,D1,P2,D3,10.0
P1,D1,P2,E3,10.0
P1,D1,P2,F3,10.0
P1,D1,P2,A4,10.0
P1,D1,P2,B4,10.0
P1,D1,P2,C4,10.0
P1,D1,P2,D4,10.0
P1,D1,P2,E4,10.0
P1,D1,P2,F4,10.0
P1,D1,P2,A5,10.0
P1,D1,P2,B5,10.0
P1,D1,P2,C5,10.0
P1,D1,P2,D5,10.0
P1,D1,P2,E5,10.0
P1,D1,P2,F5,10.0
P1,D1,P2,A6,10.0
P1,D1,P2,B6,10.0
P1,D1,P2,C6,10.0
P1,D1,P2,D6,10.0
P1,D1,P2,E6,10.0
P1,D1,P2,F6,10.0
P1,D1,P2,A7,10.0
P1,D1,P2,B7,10.0
P1,D1,P2,C7,10.0
P1,D1,P2,D7,10.0
P1,D1,P2,E7,10.0
P1,D1,P2,F7,10.0
P1,D1,P2,A8,10.0
P1,D1,P2,B8,10.0
P1,D1,P2,C8,10.0
P1,D1,P2,D8,10.0
P1,D1,P2,E8,10.0
P1,D1,P2,F8,10.0
P1,A2,P2,A1,5.0
P1,A2,P2,B1,5.0
P1,A2,P2,C1,5.0
P1,A2,P2,D1,5.0
P1,A2,P2,E1,5.0
P1,A2,P2,F1,5.0
P1,A2,P2,A2,5.0
P1,A2,P2,B2,5.0
P1,A2,P2,C2,5.0
P1,A2,P2,D2,5.0
P1,A2,P2,E2,5.0
P1,A2,P2,F2,5.0
P1,A2,P2,A3,5.0
P1,A2,P2,B3,5.0
P1,A2,P2,C3,5.0
P1,A2,P2,D3,5.0
P1,A2,P2,E3,5.0
P1,A2,P2,F3,5.0
P1,A2,P2,A4,5.0
P1,A2,P2,B4,5.0
P1,A2,P2,C4,5.0
P1,A2,P2,D4,5.0
P1,A2,P2,E4,5.0
P1,A2,P2,F4,5.0
P1,A2,P2,A5,5.0
P1,A2,P2,B5,5.0
P1,A2,P2,C5,5.0
P1,A2,P2,D5,5.0
P1,A2,P2,E5,5.0
P1,A2,P2,F5,5.0
P1,A2,P2,A6,5.0
P1,A2,P2,B6,5.0
P1,A2,P2,C6,5.0
P1,A2,P2,D6,5.0
P1,A2,P2,E6,5.0
P1,A2,P2,F6,5.0
P1,A2,P2,A7,5.0
P1,A2,P2,B7,5.0
P1,A2,P2,C7,5.0
P1,A2,P2,D7,5.0
P1,A2,P2,E7,5.0
P1,A2,P2,F7,5.0
P1,A2,P2,A8,5.0
P1,A2,P2,B8,5.0
P1,A2,P2,C8,5.0
P1,A2,P2,D8,5.0
P1,A2,P2,E8,5.0
P1,A2,P2,F8,5.0
P1,B2,P2,A1,7.499999606092457
P1,B2,P2,B1,7.499999606092457
P1,B2,P2,C1,7.499999606092457
P1,B2,P2,D1,7.499999606092457
P1,B2,P2,E1,7.499999606092457
P1,B2,P2,F1,7.499999606092457
P1,B2,P2,A2,7.499999606092457
P1,B2,P2,B2,7.499999606092457
P1,B2,P2,C2,7.499999606092457
P1,B2,P2,D2,7.499999606092457
P1,B2,P2,E2,7.499999606092457
P1,B2,P2,F2,7.499999606092457
P1,B2,P2,A3,7.499999606092457
P1,B2,P2,B3,7.499999606092457
P1,B2,P2,C3,7.499999606092457
P1,B2,P2,D3,7.499999606092457
P1,B2,P2,E3,7.499999606092457
P1,B2,P2,F3,7.499999606092457
P1,B2,P2,A4,7.499999606092457
P1,B2,P2,B4,7.499999606092457
P1,B2,P2,C4,7.499999606092457
P1,B2,P2,D4,7.499999606092457
P1,B2,P2,E4,7.499999606092457
P1,B2,P2,F4,7.499999606092457
P1,B2,P2,A5,7.499999606092457
P1,B2,P2,B5,7.499999606092457
P1,B2,P2,C5,7.499999606092457
P1,B2,P2,D5,7.499999606092457
P1,B2,P2,E5,7.499999606092457
P1,B2,P2,F5,7.499999606092457
P1,B2,P2,A6,7.499999606092457
P1,B2,P2,B6,7.499999606092457
P1,B2,P2,C6,7.499999606092457
P1,B2,P2,D6,7.499999606092457
P1,B2,P2,E6,7.499999606092457
P1,B2,P2,F6,7.499999606092457
P1,B2,P2,A7,7.499999606092457
P1,B2,P2,B7,7.499999606092457
P1,B2,P2,C7,7.499999606092457
P1,B2,P2,D7,7.499999606092457
P1,B2,P2,E7,7.499999606092457
P1,B2,P2,F7,7.499999606092457
P1,B2,P2,A8,7.499999606092457
P1,B2,P2,B8,7.499999606092457
P1,B2,P2,C8,7.499999606092457
P1,B2,P2,D8,7.499999606092457
P1,B2,P2,E8,7.499999606092457
P1,B2,P2,F8,7.499999606092457
