Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,A1,P2,D1,29.999999999999794
P1,A1,P2,E1,29.999999999999794
P1,A1,P2,F1,29.999999999999794
P1,A1,P2,A2,29.999999999999844
P1,A1,P2,B2,29.999999999999844
P1,A1,P2,C2,29.999999999999844
P1,A1,P2,A3,29.999999999999986
P1,A1,P2,B3,29.999999999999986
P1,A1,P2,C3,29.999999999999986
P1,A1,P2,D3,29.999999999999922
P1,A1,P2,E3,29.999999999999922
P1,A1,P2,F3,29.999999999999922
P1,A1,P2,A4,29.999999999999844
P1,A1,P2,B4,29.999999999999844
P1,A1,P2,C4,29.999999999999844
P1,A1,P2,A5,29.99999999999973
P1,A1,P2,B5,29.99999999999973
P1,A1,P2,C5,29.99999999999973
P1,A1,P2,D5,29.999999999999893
P1,A1,P2,E5,29.999999999999893
P1,A1,P2,F5,29.999999999999893
P1,A1,P2,A6,29.99999999999988
P1,A1,P2,B6,29.99999999999988
P1,A1,P2,C6,29.99999999999988
P1,A1,P2,D6,29.99999999999998
P1,A1,P2,E6,29.99999999999998
P1,A1,P2,F6,29.99999999999998
P1,A1,P2,A8,29.999999999999858
P1,A1,P2,B8,29.999999999999858
P1,A1,P2,C8,29.999999999999858
P1,A1,P2,D8,29.999999999999716
P1,A1,P2,E8,29.999999999999716
P1,A1,P2,F8,29.999999999999716
P1,B1,P2,A1,15.0
P1,B1,P2,B1,15.0
P1,B1,P2,C1,15.0
P1,B1,P2,D1,15.0
P1,B1,P2,E1,15.0
P1,B1,P2,F1,15.0
P1,B1,P2,A2,15.0
P1,B1,P2,B2,15.0
P1,B1,P2,C2,15.0
P1,B1,P2,D2,15.0
P1,B1,P2,E2,15.0
P1,B1,P2,F2,15.0
P1,B1,P2,A3,15.0
P1,B1,P2,B3,15.0
P1,B1,P2,C3,15.0
P1,B1,P2,D3,15.0
P1,B1,P2,E3,15.0
P1,B1,P2,F3,15.0
P1,B1,P2,A4,15.0
P1,B1,P2,B4,15.0
P1,B1,P2,C4,15.0
P1,B1,P2,D4,15.0
P1,B1,P2,E4,15.0
P1,B1,P2,F4,15.0
P1,B1,P2,A5,15.0
P1,B1,P2,B5,15.0
P1,B1,P2,C5,15.0
P1,B1,P2,D5,15.0
P1,B1,P2,E5,15.0
P1,B1,P2,F5,15.0
P1,B1,P2,A6,15.0
P1,B1,P2,B6,15.0
P1,B1,P2,C6,15.0
P1,B1,P2,D6,15.0
P1,B1,P2,E6,15.0
P1,B1,P2,F6,15.0
P1,B1,P2,A7,15.0
P1,B1,P2,B7,15.0
P1,B1,P2,C7,15.0
P1,B1,P2,D7,15.0
P1,B1,P2,E7,15.0
P1,B1,P2,F7,15.0
P1,B1,P2,A8,15.0
P1,B1,P2,B8,15.0
P1,B1,P2,C8,15.0
P1,B1,P2,D8,15.0
P1,B1,P2,E8,15.0
P1,B1,P2,F8,15.0
P1,C1,P2,A1,15.482967284360125
P1,C1,P2,B1,15.482967284360125
P1,C1,P2,C1,15.482967284360125
P4,A1,P2,D1,11.948063220548752
P4,A1,P2,E1,11.948063220548752
P4,A1,P2,F1,11.948063220548752
P1,C1,P2,A2,5.1064095473683135
